iter	Passed	Remaining
625	9949	5944
626	9967	5929
627	9990	5917
628	10009	5903
629	10025	5888
630	10040	5871
631	10052	5853
632	10066	5836
633	10079	5818
634	10098	5804
635	10113	5788
636	10126	5770
637	10140	5753
638	10153	5735
639	10165	5718
640	10176	5699
641	10190	5682
642	10203	5664
643	10217	5648
644	10229	5630
645	10242	5612
646	10255	5595
647	10267	5577
648	10282	5561
649	10300	5546
650	10313	5528
651	10328	5512
652	10341	5495
653	10360	5481
654	10373	5464
655	10389	5448
656	10402	5430
657	10418	5415
658	10434	5399
659	10446	5381
660	10459	5364
661	10478	5350
662	10494	5334
663	10506	5316
664	10520	5300
665	10536	5283
666	10550	5267
667	10563	5250
668	10578	5233
669	10590	5216
670	10602	5198
671	10619	5183
672	10634	5166
673	10647	5149
674	10661	5133
675	10674	5116
676	10686	5098
677	10698	5081
678	10710	5063
679	10723	5046
680	10736	5029
681	10749	5012
682	10760	4994
683	10774	4977
684	10787	4960
685	10798	4942
686	10811	4925
687	10827	4909
688	10839	4892
689	10852	4875
690	10866	4859
691	10879	4842
692	10891	4824
693	10904	4808
694	10917	4791
695	10931	4774
696	10942	4757
697	10955	4740
698	10969	4723
699	10982	4706
700	10997	4690
701	11013	4675
702	11030	4660
703	11047	4644
704	11064	4629
705	11077	4612
706	11090	4596
707	11103	4579
708	11114	4561
709	11127	4544
710	11139	4527
711	11151	4510
712	11164	4494
713	11178	4477
714	11190	4460
715	11204	4444
716	11216	4427
717	11229	4410
718	11246	4395
719	11274	4384
720	11287	4367
721	11299	4350
722	11315	4335
723	11328	4318
724	11341	4302
725	11355	4285
726	11370	4269
727	11381	4252
728	11394	4235
729	11406	4218
730	11418	4201
731	11431	4185
732	11445	4169
733	11458	4152
734	11472	4136
735	11484	4119
736	11496	4102
737	11508	4085
738	11523	4069
739	11543	4055
740	11563	4041
741	11583	4027
742	11598	4011
743	11619	3997
744	11635	3982
745	11654	3968
746	11670	3952
747	11685	3936
748	11703	3922
749	11719	3906
750	11738	3891
751	11755	3876
752	11773	3861
753	11790	3846
754	11806	3831
755	11824	3816
756	11844	3802
757	11866	3788
758	11884	3773
759	11902	3758
760	11918	3743
761	11932	3727
762	11945	3710
763	11962	3695
764	11976	3679
765	11990	3662
766	12005	3647
767	12028	3633
768	12043	3617
769	12062	3603
770	12079	3587
771	12094	3571
772	12109	3556
773	12121	3539
774	12139	3524
775	12153	3508
776	12168	3492
777	12180	3475
778	12191	3458
779	12204	3442
780	12219	3426
781	12233	3410
782	12261	3398
783	12283	3384
784	12309	3371
785	12329	3356
786	12346	3341
787	12370	3328
788	12385	3312
789	12404	3297
790	12421	3282
791	12441	3267
792	12462	3253
793	12481	3238
794	12496	3222
795	12512	3206
796	12527	3190
797	12539	3174
798	12553	3158
799	12568	3142
800	12582	3126
801	12594	3109
802	12609	3093
803	12623	3077
804	12636	3061
805	12648	3044
806	12661	3028
807	12671	3011
808	12686	2995
809	12700	2979
810	12712	2962
811	12724	2946
812	12735	2929
813	12748	2913
814	12760	2896
815	12774	2880
816	12789	2864
817	12803	2848
818	12816	2832
819	12830	2816
820	12842	2800
821	12860	2784
822	12882	2770
823	12905	2756
824	12922	2741
825	12942	2726
826	12959	2710
827	12975	2695
828	12993	2680
829	13010	2664
830	13029	2649
831	13053	2635
832	13071	2620
833	13096	2606
834	13114	2591
835	13131	2575
836	13145	2559
837	13160	2544
838	13174	2528
839	13190	2512
840	13203	2496
841	13219	2480
842	13234	2464
843	13249	2448
844	13262	2432
845	13275	2416
846	13290	2400
847	13304	2384
848	13317	2368
849	13330	2352
850	13345	2336
851	13358	2320
852	13371	2304
853	13386	2288
854	13400	2272
855	13415	2256
856	13429	2240
857	13442	2224
858	13454	2208
859	13467	2192
860	13480	2176
861	13494	2160
862	13507	2144
863	13522	2128
864	13537	2112
865	13548	2096
866	13561	2080
867	13574	2064
868	13588	2048
869	13599	2032
870	13612	2016
871	13626	2000
872	13638	1984
873	13652	1968
874	13664	1952
875	13677	1936
876	13690	1920
877	13703	1904
878	13715	1888
879	13729	1872
880	13743	1856
881	13756	1840
882	13768	1824
883	13784	1808
884	13795	1792
885	13807	1776
886	13821	1760
887	13835	1745
888	13848	1729
889	13863	1713
890	13874	1697
891	13889	1681
892	13902	1665
893	13914	1649
894	13930	1634
895	13944	1618
896	13957	1602
897	13970	1586
898	13982	1570
899	13994	1554
900	14006	1539
901	14020	1523
902	14038	1508
903	14054	1492
904	14072	1477
905	14088	1461
906	14102	1446
907	14118	1430
908	14134	1415
909	14147	1399
910	14161	1383
911	14176	1367
912	14190	1352
913	14203	1336
914	14216	1320
915	14233	1305
916	14245	1289
917	14258	1273
918	14269	1257
919	14284	1242
920	14299	1226
921	14312	1210
922	14327	1195
923	14344	1179
924	14359	1164
925	14371	1148
926	14383	1132
927	14396	1116
928	14409	1101
929	14422	1085
930	14441	1070
931	14462	1055
932	14486	1040
933	14507	1025
934	14524	1009
935	14543	994
936	14559	978
937	14578	963
938	14593	948
939	14610	932
940	14626	917
941	14646	901
942	14664	886
943	14679	870
944	14697	855
945	14712	839
946	14732	824
947	14750	809
948	14767	793
949	14785	778
950	14801	762
951	14814	746
952	14828	731
953	14842	715
954	14855	699
955	14869	684
956	14882	668
957	14894	652
958	14906	637
959	14918	621
960	14930	605
961	14943	590
962	14955	574
963	14969	559
964	14982	543
965	14994	527
966	15007	512
967	15023	496
968	15037	481
969	15051	465
970	15066	449
971	15087	434
972	15104	419
973	15121	403
974	15141	388
975	15156	372
976	15171	357
977	15183	341
978	15196	325
979	15208	310
980	15222	294
981	15235	279
982	15249	263
983	15264	248
984	15279	232
985	15292	217
986	15307	201
987	15319	186
988	15334	170
989	15346	155
990	15360	139
991	15374	123
992	15388	108
993	15401	92
994	15415	77
995	15428	61
996	15440	46
997	15452	30
998	15466	15
999	15479	0
